bytes,string,bytestring,bytestringchar8,lazybytestring,lazybytestringchar8
1048576000,42502635024,1048653480,1048654752,1076378112,1076380016
2097152000,85005191736,2097229480,2097230752,2152616736,2152618640
3145728000,127507748448,3145805656,3145806928,3228854696,3228856600
4194304000,170010305160,4194381656,4194382928,4305093320,4305095224
5242880000,212512861744,5242957832,5242959104,5381331944,5381333848
6291456000,255015418456,6291533832,6291535104,6457565904,6457567808
7340032000,297517975168,7340110008,7340111280,7533804528,7533806432
8388608000,340020532928,8388686008,8388687280,8610041120,8610043024
9437184000,382523089640,9437262184,9437263456,9686281112,9686283016
10485760000,425025646224,10485838184,10485839456,10762519736,10762521640
