ID,OUTPUT_ID,ORDER,OP,CONST,DATA_SOURCE
KEY0001,RULE001,0,CONSTANT,1,
KEY0002,RULE001,1,GET_DATA,,/foo/bar/x
KEY0003,RULE001,2,DIV,,
KEY0004,RULE001,3,CONSTANT,10,
KEY0005,RULE001,4,MUL,,
KEY0200,RULE002,0,CONSTANT,1,
KEY0201,RULE002,1,GET_DATA,,/foo/bar/x
KEY0202,RULE002,2,DIV,,
KEY0203,RULE002,3,CONSTANT,1,
KEY0204,RULE002,4,GET_DATA,,/foo/bar/y
KEY0205,RULE002,5,DIV,,
KEY0206,RULE002,6,PLUS,,
KEY0207,RULE002,7,CONSTANT,2,
KEY0208,RULE002,8,DIV,,
KEY0101,RULE003,0,CONSTANT,15,
KEY0102,RULE003,1,CONSTANT,7,
KEY0103,RULE003,2,CONSTANT,1,
KEY0104,RULE003,3,CONSTANT,1,
KEY0105,RULE003,4,PLUS,,
KEY0106,RULE003,5,MINUS,,
KEY0107,RULE003,6,DIV,,
KEY0108,RULE003,7,CONSTANT,3,
KEY0109,RULE003,8,MUL,,
KEY0110,RULE003,9,CONSTANT,2,
KEY0111,RULE003,10,CONSTANT,1,
KEY0112,RULE003,11,CONSTANT,1,
KEY0113,RULE003,12,PLUS,,
KEY0114,RULE003,13,PLUS,,
KEY0153,RULE003,14,MINUS,,
